Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Master Toko,Chrome 114.0.0.0,,,2023-07-06 15:36:06,2023-07-06 15:36:32,25.940s,PASSED
,,,,,,,
Test Cases/Master Toko/Success/Searching,Chrome 114.0.0.0,,,2023-07-06 15:36:07,2023-07-06 15:36:32,25.704s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-06 15:36:07,2023-07-06 15:36:09,2.464s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-06 15:36:09,2023-07-06 15:36:09,0.044s,PASSED
"navigateToUrl(""https://uat-dashboard.blicicil.com/auth/login"")",Chrome 114.0.0.0,,,2023-07-06 15:36:09,2023-07-06 15:36:10,0.814s,PASSED
"setText(findTestObject(""Object Repository/Master Toko/Searching Success/input_Email_email""), ""eva.mayadila@megafinance.co.id"")",Chrome 114.0.0.0,,,2023-07-06 15:36:10,2023-07-06 15:36:12,1.406s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Master Toko/Searching Success/input_Password_password""), ""aeHFOx8jV/A="")",Chrome 114.0.0.0,,,2023-07-06 15:36:12,2023-07-06 15:36:12,0.489s,PASSED
"click(findTestObject(""Object Repository/Master Toko/Searching Success/button_Login""))",Chrome 114.0.0.0,,,2023-07-06 15:36:12,2023-07-06 15:36:13,0.491s,PASSED
"click(findTestObject(""Object Repository/Master Toko/Searching Success/a_Master""))",Chrome 114.0.0.0,,,2023-07-06 15:36:13,2023-07-06 15:36:14,1.762s,PASSED
"click(findTestObject(""Object Repository/Master Toko/Searching Success/a_Toko""))",Chrome 114.0.0.0,,,2023-07-06 15:36:14,2023-07-06 15:36:15,0.742s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Master Toko/Searching Success/select_Search by                           _752fd7""), ""store_name"", true)",Chrome 114.0.0.0,,,2023-07-06 15:36:15,2023-07-06 15:36:17,1.768s,PASSED
"setText(findTestObject(""Object Repository/Master Toko/Searching Success/input_New Toko_filterSearch""), ""Furniture"")",Chrome 114.0.0.0,,,2023-07-06 15:36:17,2023-07-06 15:36:18,0.811s,PASSED
