Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Master Highlight,Chrome 114.0.0.0,,,2023-07-11 10:16:48,2023-07-11 10:17:56,1m - 8.728s,FAILED
,,,,,,,
Test Cases/Master Highlight/Beranda,Chrome 114.0.0.0,,,2023-07-11 10:16:48,2023-07-11 10:17:34,46.417s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-11 10:16:49,2023-07-11 10:16:53,4.129s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-11 10:16:53,2023-07-11 10:16:53,0.045s,PASSED
"navigateToUrl(""https://uat-dashboard.blicicil.com/auth/login"")",Chrome 114.0.0.0,,,2023-07-11 10:16:53,2023-07-11 10:16:54,0.724s,PASSED
"setText(findTestObject(""Object Repository/Master Highlight/Beranda/input_Email_email""), ""eva.mayadila@megafinance.co.id"")",Chrome 114.0.0.0,,,2023-07-11 10:16:54,2023-07-11 10:16:55,1.145s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Master Highlight/Beranda/input_Password_password""), ""aeHFOx8jV/A="")",Chrome 114.0.0.0,,,2023-07-11 10:16:55,2023-07-11 10:16:56,1.047s,PASSED
"click(findTestObject(""Object Repository/Master Highlight/Beranda/button_Login""))",Chrome 114.0.0.0,,,2023-07-11 10:16:56,2023-07-11 10:16:58,2.215s,PASSED
"click(findTestObject(""Object Repository/Master Highlight/Beranda/a_Master""))",Chrome 114.0.0.0,,,2023-07-11 10:16:58,2023-07-11 10:17:00,2.206s,PASSED
"click(findTestObject(""Object Repository/Master Highlight/Beranda/a_Highlight""))",Chrome 114.0.0.0,,,2023-07-11 10:17:00,2023-07-11 10:17:01,0.948s,PASSED
"getText(findTestObject(""Object Repository/Master Highlight/Beranda/div_List Highlight BliCicil Admin as       _048319""))",Chrome 114.0.0.0,,,2023-07-11 10:17:01,2023-07-11 10:17:02,0.993s,PASSED
"click(findTestObject(""Object Repository/Master Highlight/Beranda/a_2""))",Chrome 114.0.0.0,,,2023-07-11 10:17:02,2023-07-11 10:17:07,4.675s,PASSED
"click(findTestObject(""Object Repository/Master Highlight/Beranda/a_Previous""))",Chrome 114.0.0.0,,,2023-07-11 10:17:07,2023-07-11 10:17:07,0.503s,PASSED
"click(findTestObject(""Object Repository/Master Highlight/Beranda/a_Next""))",Chrome 114.0.0.0,,,2023-07-11 10:17:07,2023-07-11 10:17:31,23.680s,PASSED
"click(findTestObject(""Object Repository/Master Highlight/Beranda/a_1""))",Chrome 114.0.0.0,,,2023-07-11 10:17:31,2023-07-11 10:17:31,0.482s,PASSED
