Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Master Kategori,Chrome 114.0.0.0,,,2023-07-12 10:58:45,2023-07-12 10:59:49,1m - 3.797s,PASSED
,,,,,,,
Test Cases/Master Kategori/Beranda,Chrome 114.0.0.0,,,2023-07-12 10:58:46,2023-07-12 10:59:02,16.047s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-12 10:58:46,2023-07-12 10:58:50,3.951s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-12 10:58:50,2023-07-12 10:58:50,0.061s,PASSED
"navigateToUrl(""https://uat-dashboard.blicicil.com/auth/login"")",Chrome 114.0.0.0,,,2023-07-12 10:58:50,2023-07-12 10:58:51,0.997s,PASSED
"setText(findTestObject(""Object Repository/Master Kategori/Beranda/input_Email_email""), ""eva.mayadila@megafinance.co.id"")",Chrome 114.0.0.0,,,2023-07-12 10:58:51,2023-07-12 10:58:52,1.176s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Master Kategori/Beranda/input_Password_password""), ""aeHFOx8jV/A="")",Chrome 114.0.0.0,,,2023-07-12 10:58:52,2023-07-12 10:58:53,0.604s,PASSED
"click(findTestObject(""Object Repository/Master Kategori/Beranda/button_Login""))",Chrome 114.0.0.0,,,2023-07-12 10:58:53,2023-07-12 10:58:54,0.685s,PASSED
"click(findTestObject(""Object Repository/Master Kategori/Beranda/a_Master""))",Chrome 114.0.0.0,,,2023-07-12 10:58:54,2023-07-12 10:58:56,2.030s,PASSED
"click(findTestObject(""Object Repository/Master Kategori/Beranda/a_Kategori""))",Chrome 114.0.0.0,,,2023-07-12 10:58:56,2023-07-12 10:58:57,1.003s,PASSED
"click(findTestObject(""Object Repository/Master Kategori/Beranda/a_Next""))",Chrome 114.0.0.0,,,2023-07-12 10:58:57,2023-07-12 10:58:58,1.031s,PASSED
