Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Master Bank,Chrome 114.0.0.0,,,2023-07-12 14:33:00,2023-07-12 14:33:44,43.486s,PASSED
,,,,,,,
Test Cases/Master Bank/Beranda,Chrome 114.0.0.0,,,2023-07-12 14:33:01,2023-07-12 14:33:20,19.329s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-12 14:33:01,2023-07-12 14:33:05,4.146s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-12 14:33:05,2023-07-12 14:33:05,0.039s,PASSED
"navigateToUrl(""https://uat-dashboard.blicicil.com/auth/login"")",Chrome 114.0.0.0,,,2023-07-12 14:33:05,2023-07-12 14:33:07,1.977s,PASSED
"setText(findTestObject(""Object Repository/Master Bank/Beranda/input_Email_email""), ""eva.mayadila@megafinance.co.id"")",Chrome 114.0.0.0,,,2023-07-12 14:33:07,2023-07-12 14:33:09,1.150s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Master Bank/Beranda/input_Password_password""), ""aeHFOx8jV/A="")",Chrome 114.0.0.0,,,2023-07-12 14:33:09,2023-07-12 14:33:09,0.571s,PASSED
"click(findTestObject(""Object Repository/Master Bank/Beranda/button_Login""))",Chrome 114.0.0.0,,,2023-07-12 14:33:09,2023-07-12 14:33:10,0.581s,PASSED
"click(findTestObject(""Object Repository/Master Bank/Beranda/a_Master""))",Chrome 114.0.0.0,,,2023-07-12 14:33:10,2023-07-12 14:33:12,1.922s,PASSED
"click(findTestObject(""Object Repository/Master Bank/Beranda/a_Bank""))",Chrome 114.0.0.0,,,2023-07-12 14:33:12,2023-07-12 14:33:13,0.977s,PASSED
"click(findTestObject(""Object Repository/Master Bank/Beranda/a_6""))",Chrome 114.0.0.0,,,2023-07-12 14:33:13,2023-07-12 14:33:16,3.218s,PASSED
"click(findTestObject(""Object Repository/Master Bank/Beranda/a_Previous""))",Chrome 114.0.0.0,,,2023-07-12 14:33:16,2023-07-12 14:33:16,0.542s,PASSED
"click(findTestObject(""Object Repository/Master Bank/Beranda/a_Next""))",Chrome 114.0.0.0,,,2023-07-12 14:33:16,2023-07-12 14:33:17,0.542s,PASSED
"click(findTestObject(""Object Repository/Master Bank/Beranda/button_Delete""))",Chrome 114.0.0.0,,,2023-07-12 14:33:17,2023-07-12 14:33:18,0.555s,PASSED
"click(findTestObject(""Object Repository/Master Bank/Beranda/button_No""))",Chrome 114.0.0.0,,,2023-07-12 14:33:18,2023-07-12 14:33:18,0.531s,PASSED
"click(findTestObject(""Object Repository/Master Bank/Beranda/button_Delete""))",Chrome 114.0.0.0,,,2023-07-12 14:33:18,2023-07-12 14:33:19,0.740s,PASSED
"click(findTestObject(""Object Repository/Master Bank/Beranda/button_Yes""))",Chrome 114.0.0.0,,,2023-07-12 14:33:19,2023-07-12 14:33:19,0.510s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-12 14:33:19,2023-07-12 14:33:20,0.770s,PASSED
,,,,,,,
Test Cases/Master Bank/Searching Failed,Chrome 114.0.0.0,,,2023-07-12 14:33:20,2023-07-12 14:33:32,12.024s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-12 14:33:20,2023-07-12 14:33:22,1.794s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-12 14:33:22,2023-07-12 14:33:22,0.020s,PASSED
"navigateToUrl(""https://uat-dashboard.blicicil.com/auth/login"")",Chrome 114.0.0.0,,,2023-07-12 14:33:22,2023-07-12 14:33:23,0.770s,PASSED
"setText(findTestObject(""Object Repository/Master Bank/Searching Failed/input_Email_email""), ""eva.mayadila@megafinance.co.id"")",Chrome 114.0.0.0,,,2023-07-12 14:33:23,2023-07-12 14:33:24,1.007s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Master Bank/Searching Failed/input_Password_password""), ""aeHFOx8jV/A="")",Chrome 114.0.0.0,,,2023-07-12 14:33:24,2023-07-12 14:33:25,0.444s,PASSED
"click(findTestObject(""Object Repository/Master Bank/Searching Failed/button_Login""))",Chrome 114.0.0.0,,,2023-07-12 14:33:25,2023-07-12 14:33:25,0.557s,PASSED
"click(findTestObject(""Object Repository/Master Bank/Searching Failed/a_Master""))",Chrome 114.0.0.0,,,2023-07-12 14:33:25,2023-07-12 14:33:27,2.077s,PASSED
"click(findTestObject(""Object Repository/Master Bank/Searching Failed/a_Bank""))",Chrome 114.0.0.0,,,2023-07-12 14:33:27,2023-07-12 14:33:28,1.042s,PASSED
"setText(findTestObject(""Object Repository/Master Bank/Searching Failed/input_Search_form-control form-control-sm""), ""Sea bank"")",Chrome 114.0.0.0,,,2023-07-12 14:33:28,2023-07-12 14:33:30,1.404s,PASSED
"sendKeys(findTestObject(""Object Repository/Master Bank/Searching Failed/input_Search_form-control form-control-sm""), Keys.chord(ENTER))",Chrome 114.0.0.0,,,2023-07-12 14:33:30,2023-07-12 14:33:30,0.533s,PASSED
