Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
News,Chrome 114.0.0.0,,,2023-07-14 10:49:53,2023-07-14 10:50:37,43.623s,PASSED
,,,,,,,
Test Cases/News/Beranda,Chrome 114.0.0.0,,,2023-07-14 10:49:53,2023-07-14 10:50:14,20.480s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-14 10:49:54,2023-07-14 10:49:56,2.346s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-14 10:49:56,2023-07-14 10:49:56,0.040s,PASSED
"navigateToUrl(""https://uat-dashboard.blicicil.com/auth/login"")",Chrome 114.0.0.0,,,2023-07-14 10:49:56,2023-07-14 10:49:57,0.630s,PASSED
"setText(findTestObject(""Object Repository/News/Beranda/input_Email_email""), ""eva.mayadila@megafinance.co.id"")",Chrome 114.0.0.0,,,2023-07-14 10:49:57,2023-07-14 10:49:57,0.885s,PASSED
"setEncryptedText(findTestObject(""Object Repository/News/Beranda/input_Password_password""), ""aeHFOx8jV/A="")",Chrome 114.0.0.0,,,2023-07-14 10:49:57,2023-07-14 10:49:58,0.429s,PASSED
"click(findTestObject(""Object Repository/News/Beranda/button_Login""))",Chrome 114.0.0.0,,,2023-07-14 10:49:58,2023-07-14 10:49:58,0.511s,PASSED
"click(findTestObject(""Object Repository/News/Beranda/a_News""))",Chrome 114.0.0.0,,,2023-07-14 10:49:58,2023-07-14 10:50:01,2.334s,PASSED
"click(findTestObject(""Object Repository/News/Beranda/a_2""))",Chrome 114.0.0.0,,,2023-07-14 10:50:01,2023-07-14 10:50:02,1.018s,PASSED
"click(findTestObject(""Object Repository/News/Beranda/a_Previous""))",Chrome 114.0.0.0,,,2023-07-14 10:50:02,2023-07-14 10:50:02,0.496s,PASSED
"click(findTestObject(""Object Repository/News/Beranda/a_Next""))",Chrome 114.0.0.0,,,2023-07-14 10:50:02,2023-07-14 10:50:03,0.475s,PASSED
"click(findTestObject(""Object Repository/News/Beranda/a_1""))",Chrome 114.0.0.0,,,2023-07-14 10:50:03,2023-07-14 10:50:03,0.462s,PASSED
"click(findTestObject(""Object Repository/News/Beranda/button_Unpublish""))",Chrome 114.0.0.0,,,2023-07-14 10:50:03,2023-07-14 10:50:04,0.493s,PASSED
"click(findTestObject(""Object Repository/News/Beranda/button_No""))",Chrome 114.0.0.0,,,2023-07-14 10:50:04,2023-07-14 10:50:04,0.498s,PASSED
"click(findTestObject(""Object Repository/News/Beranda/button_Unpublish""))",Chrome 114.0.0.0,,,2023-07-14 10:50:04,2023-07-14 10:50:05,0.711s,PASSED
"click(findTestObject(""Object Repository/News/Beranda/button_Yes""))",Chrome 114.0.0.0,,,2023-07-14 10:50:05,2023-07-14 10:50:05,0.495s,PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-14 10:50:05,2023-07-14 10:50:07,2.041s,PASSED
"click(findTestObject(""Object Repository/News/Beranda/a_Next""))",Chrome 114.0.0.0,,,2023-07-14 10:50:07,2023-07-14 10:50:08,0.791s,PASSED
"click(findTestObject(""Object Repository/News/Beranda/a_Previous""))",Chrome 114.0.0.0,,,2023-07-14 10:50:08,2023-07-14 10:50:09,0.557s,PASSED
"click(findTestObject(""Object Repository/News/Beranda/button_Publish""))",Chrome 114.0.0.0,,,2023-07-14 10:50:09,2023-07-14 10:50:09,0.487s,PASSED
"click(findTestObject(""Object Repository/News/Beranda/button_No""))",Chrome 114.0.0.0,,,2023-07-14 10:50:09,2023-07-14 10:50:10,0.484s,PASSED
"click(findTestObject(""Object Repository/News/Beranda/button_Publish""))",Chrome 114.0.0.0,,,2023-07-14 10:50:10,2023-07-14 10:50:10,0.697s,PASSED
"click(findTestObject(""Object Repository/News/Beranda/button_Yes""))",Chrome 114.0.0.0,,,2023-07-14 10:50:10,2023-07-14 10:50:11,0.480s,PASSED
delay(2),Chrome 114.0.0.0,,,2023-07-14 10:50:11,2023-07-14 10:50:13,2.011s,PASSED
closeBrowser(),Chrome 114.0.0.0,,,2023-07-14 10:50:13,2023-07-14 10:50:14,0.769s,PASSED
,,,,,,,
Test Cases/News/Searching Failed,Chrome 114.0.0.0,,,2023-07-14 10:50:14,2023-07-14 10:50:25,11.273s,PASSED
"openBrowser("""")",Chrome 114.0.0.0,,,2023-07-14 10:50:14,2023-07-14 10:50:16,1.561s,PASSED
maximizeWindow(),Chrome 114.0.0.0,,,2023-07-14 10:50:16,2023-07-14 10:50:16,0.020s,PASSED
